_index,_type,_id,_score,_source.id,_source.names.en,_source.names.vi,_source.names.fr,_source.types,_source.weight,_source.source,_source.name,_source.indexed,_source.names.de,_source.synonyms.en
profession-test,_doc,product_director,0.043408982,product_director,Product Director,Giám đốc sản phẩm,Directeur de produit,job title,10,category-test,Product Director,1652175102346,,
profession-test,_doc,product_engineer,0.043408982,product_engineer,Product Engineer,Kỹ sư sản phẩm,Ingénieur Produit,job title,10,category-test,Product Engineer,1652175102346,,
profession-test,_doc,product_manager,0.043408982,product_manager,Product Manager,Giám đốc sản xuất,Chef de produit,job title,10,category-test,Product Manager,1652175102346,,
profession-test,_doc,product_marketing_manager,0.043408982,product_marketing_manager,Product Marketing Manager,Giám đốc tiếp thị sản phẩm,Responsable Marketing Produit,job title,10,category-test,Product Marketing Manager,1652175102346,,
profession-test,_doc,product_owner,0.043408982,product_owner,Product Owner,Chủ sở hữu sản phẩm,Propriétaire du produit,job title,10,category-test,Product Owner,1652175102346,,
profession-test,_doc,product_specialist,0.043408982,product_specialist,Product Specialist,Chuyên gia sản phẩm,Spécialiste de produit,job title,10,category-test,Product Specialist,1652175102346,,
profession-test,_doc,production_assistant,0.043408982,production_assistant,Production Assistant,Trợ lý sản xuất,Assistant de production,job title,10,category-test,Production Assistant,1652175102346,,
profession-test,_doc,production_associate,0.043408982,production_associate,Production Associate,Associate sản xuất,Associé production,job title,10,category-test,Production Associate,1652175102346,,
profession-test,_doc,production_coordinator,0.043408982,production_coordinator,Production Coordinator,Điều phối viên sản xuất,Coordinateur de production,job title,10,category-test,Production Coordinator,1652175102346,,
profession-test,_doc,production_manager,0.043408982,production_manager,Production Manager,Giám đốc sản xuất,Directeur de production,job title,10,category-test,Production Manager,1652175102346,,
profession-test,_doc,production_specialist,0.043408982,production_specialist,Production Specialist,Chuyên sản xuất,Spécialiste de la production,job title,10,category-test,Production Specialist,1652175102346,,
profession-test,_doc,production_supervisor,0.043408982,production_supervisor,Production Supervisor,Giám sát sản xuất,Superviseur de production,job title,10,category-test,Production Supervisor,1652175102346,,
profession-test,_doc,professor,0.043408982,professor,Professor,Giáo sư,Professeur,job title,10,category-test,Professor,1652175102346,,
profession-test,_doc,program_assistant,0.043408982,program_assistant,Program Assistant,Trợ lý chương trình,Assistant de programme,job title,10,category-test,Program Assistant,1652175102346,,
profession-test,_doc,program_coordinator,0.043408982,program_coordinator,Program Coordinator,Điều phối viên chương trình,Coordonnateur de programme,job title,10,category-test,Program Coordinator,1652175102346,,
profession-test,_doc,program_director,0.043408982,program_director,Program Director,Giám đốc chương trình,Directeur de programme,job title,10,category-test,Program Director,1652175102346,,
profession-test,_doc,program_manager,0.043408982,program_manager,Program Manager,Quản lý chương trình,Gestionnaire de programme,job title,10,category-test,Program Manager,1652175102346,,
profession-test,_doc,program_specialist,0.043408982,program_specialist,Program Specialist,Chuyên gia chương trình,Spécialiste du programme,job title,10,category-test,Program Specialist,1652175102346,,
profession-test,_doc,progressive_care_nurse,0.043408982,progressive_care_nurse,Progressive Care Nurse,Chăm sóc Progressive Y tá,Infirmière Progressive Care,job title,10,category-test,Progressive Care Nurse,1652175102346,,
profession-test,_doc,project_engineer,0.043408982,project_engineer,Project Engineer,Kỹ sư dự án,Ingénieur de projet,job title,10,category-test,Project Engineer,1652175102346,,
profession-test,_doc,project_manager,0.043408982,project_manager,Project Manager,Quản lý dự án,Chef de projet,job title,10,category-test,Project Manager,1652175102346,,
profession-test,_doc,property_manager,0.043408982,property_manager,Property Manager,Quản lý tài sản,Gestionnaire de l'immeuble,job title,10,category-test,Property Manager,1652175102346,,
profession-test,_doc,psychiatrist,0.043408982,psychiatrist,Psychiatrist,Bác sĩ tâm thần,Psychiatre,job title,10,category-test,Psychiatrist,1652175102346,,
profession-test,_doc,security_analyst,0.043408982,security_analyst,Security Analyst,Chuyên viên phân tích an ninh,Analyste de sécurité,job title,10,category-test,Security Analyst,1652175102346,,
profession-test,_doc,security_engineer,0.043408982,security_engineer,Security Engineer,Kỹ sư an ninh,Ingénieur de sécurité,job title,10,category-test,Security Engineer,1652175102346,,
profession-test,_doc,security_guard,0.043408982,security_guard,Security Guard,Bảo vệ an ninh,Garde de sécurité,job title,10,category-test,Security Guard,1652175102346,,
profession-test,_doc,security_officer,0.043408982,security_officer,Security Officer,Nhân viên an ninh,Agent de sécurité,job title,10,category-test,Security Officer,1652175102346,,
profession-test,_doc,security_professional,0.043408982,security_professional,Security Professional,An ninh chuyên nghiệp,sécurité professionnelle,job title,10,category-test,Security Professional,1652175102346,,
profession-test,_doc,senior_account_executive,0.043408982,senior_account_executive,Senior Account Executive,Điều hành tài khoản cao cấp,Cadre supérieur de compte,job title,10,category-test,Senior Account Executive,1652175102346,,
profession-test,_doc,senior_account_manager,0.043408982,senior_account_manager,Senior Account Manager,Quản lý tài khoản cao cấp,Senior Account Manager,job title,10,category-test,Senior Account Manager,1652175102346,,
profession-test,_doc,senior_accountant,0.043408982,senior_accountant,Senior Accountant,Kế toán viên cao cấp,Senior Accountant,job title,10,category-test,Senior Accountant,1652175102346,,
profession-test,_doc,senior_administrative_assistant,0.043408982,senior_administrative_assistant,Senior Administrative Assistant,Trợ lý hành chính cao cấp,Assistant administratif senior,job title,10,category-test,Senior Administrative Assistant,1652175102346,,
